FWIS,,Hours
FWIS 100,FUNDAMENTALS OF ACADEMIC COMMUNICATION,3
FWIS 101,WOMEN DIRECTING WOMEN,3
FWIS 102,CHILDREN'S LITERATURE,3
FWIS 103,IN THE MATRIX,3
FWIS 104,RELIGIOUS VIOLENCE & TOLERANCE,3
FWIS 105,"GENEROSITY, GIFTS AND GIVING",3
FWIS 106,"MARRIAGE, INC.",3
FWIS 107,CULTURES OF ALCOHOL,3
FWIS 108,GRAPHIC NOVELS,3
FWIS 109,WAR STORIES,3
FWIS 110,BIRTH OF GODS/JUSTICE ORIGINS,3
FWIS 111,SHAKESPEARE ART & MOD PHILOS,3
FWIS 112,LATIN AMER FANTATSTIC FICTION,3
FWIS 114,INTRODUCTION TO LITERATURE,3
FWIS 115,LANGUAGE OF PHOTOGRAPHY,3
FWIS 116,AMERICAN JOURNEYS,3
FWIS 118,MUSICAL BIOGRAPHY,3
FWIS 119,AMERICAN CITIES AND NOVELS,3
FWIS 120,NEUROFICTIONS,3
FWIS 121,THE BODY AGAINST ITSELF,3
FWIS 122,LEADERS AND LEADERSHIP,3
FWIS 125,LETHAL RELIGION,3
FWIS 126,CURRENT EVENT PHYSICS,3
FWIS 127,POEMS IMAGES PHOTOGRAPHS,3
FWIS 130,WRITING EVERYDAY LIFE,3
FWIS 131,MYSTICISM AND SPIRITUALITY,3
FWIS 132,RISE & FALL COGNITIVE PROCESS,3
FWIS 133,AMERICAN MATERIAL CULTURE,3
FWIS 134,HISTORY/RELIGION/AMERICAN LIFE,3
FWIS 135,NATURE AND ENVIRONMENT,3
FWIS 136,THE REAL COST OF A COKE,3
FWIS 138,WOUNDED STORYTELLERS,3
FWIS 139,SPORT AMER LITERATURE & CULT,3
FWIS 140,CONTEMPORARY SPORT & EXERCISE,3
FWIS 141,YOU THROW LIKE A GIRL,3
FWIS 142,ENCOUNTERS WITH MONSTROSITY,3
FWIS 144,WRITING THE BODY,3
FWIS 145,GOOD SEX,3
FWIS 146,EARTH SCIENCE IN ACTION,3
FWIS 147,AMERICA THROUGH FRENCH EYES,3
FWIS 149,INTERNATIONAL CONFLICTS,3
FWIS 150,JEWISH-AMERICAN LIT & CULTURE,3
FWIS 152,THE VISUAL CULTURE OF SUBURBIA,3
FWIS 153,RACE & EDUCATIONAL OPPORTUNITY,3
FWIS 154,ONE NATION UNDER GOD?,3
FWIS 155,DEBATING AMER CIVIL WAR ERA,3
FWIS 156,SECURING AMERICA,3
FWIS 157,EXPLORING FANTASY LITERATURE,3
FWIS 158,THE RISE OF THE RIGHT,3
FWIS 160,DEMYSTIFYING BIOSCIENCE,3
FWIS 161,BECOMING TRANS-CULTURAL,3
FWIS 163,MEDICAL HUMANITIES,3
FWIS 164,WAYS OF WALKING,3
FWIS 165,DEBATING PROGRESSIVISM,3
FWIS 166,THE PICTURE IN OUR HEADS,3
FWIS 167,THE ATLANTIC SLAVE TRADE,3
FWIS 168,BUILDING DESIGN PROBLEMS,3
FWIS 169,CHINESE INTELLECTUAL HISTORY,3
FWIS 170,PERSPECTIVES ON GLOBAL HEALTH,3
FWIS 171,WORD MAGIC,3
FWIS 172,WOMEN OF THE NIGHT,3
FWIS 173,LEGENDARY AMERICANS,3
FWIS 174,WRITING IN SPORT MANAGEMENT,3
FWIS 175,ENTREPRENEURIAL LEADERSHIP,3
FWIS 176,AUTOBIOGRAPHICAL DOCUMENTARY,3
