Lifetime Phys Activity Program,,Hours
LPAP 100,INTRODUCTION TO TENNIS,1
LPAP 104,"INTRODUCTION TO RACQUETBALL, SQUASH, AND BADMINTON",1
LPAP 107,INTERMEDIATE TENNIS,1
LPAP 109,INTRODUCTION TO FOXTROT AND WALTZ,1
LPAP 110,INTRODUCTION TO GOLF,1
LPAP 111,INTERMEDIATE GOLF,1
LPAP 113,MENTAL TRAINING FOR PERFORMANCE ENHANCEMENT,1
LPAP 115,MINDFULNESS: MEDITATION FOR STRESS REDUCTION,1
LPAP 116,INTERMEDIATE SALSA/ CHA CHA,1
LPAP 117,INTRODUCTION TO OUTDOOR LEADERSHIP,1
LPAP 118,INTRODUCTION TO TEAM SPORTS,1
LPAP 119,INTRODUCTION TO TEAM SPORTS OFFICIATING,1
LPAP 120,INTRODUCTION TO DISC GOLF/ULTIMATE FRISBEE,1
LPAP 125,INTRODUCTION TO SOCCER,1
LPAP 126,INTERMEDIATE SOCCER,1
LPAP 127,INTRODUCTION TO VOLLEYBALL/BASKETBALL,1
LPAP 130,CONTACT IMPROVISATION,1
LPAP 131,INTRODUCTION TO MIDDLE EASTERN DANCE,1
LPAP 132,INTERMEDIATE MIDDLE EASTERN DANCE,1
LPAP 133,CAPOEIRA,1
LPAP 134,INDIAN DANCE: FROM CLASSICAL TO BOLLYWOOD,1
LPAP 135,INTRODUCTION TO DANCE,1
LPAP 136,INTRODUCTION TO LATIN DANCE: MERENGUE AND SAMBA,1
LPAP 137,INTRODUCTION TO EAST COAST SWING,1
LPAP 138,INTRODUCTION TO LATIN DANCE - SALSA/MAMBO & CHA CHA,1
LPAP 139,INTRODUCTION TO BALLROOM DANCE - TANGO AND RUMBA,1
LPAP 141,INTERMEDIATE BALLROOM DANCE,1
LPAP 142,INTRODUCTION TO LATIN DANCE: MERENGUE AND SAMBA,1
LPAP 144,INTRODUCTION TO COUNTRY WESTERN,1
LPAP 145,INTERMEDIATE COUNTRY WESTERN,1
LPAP 147,INTERMEDIATE EAST COAST SWING DANCE,1
LPAP 148,DANCE CHOREOGRAPHY,1
LPAP 149,ADVANCED DANCE TECHNIQUE AND THEORY,1
LPAP 150,IMPROVISATION DANCE,1
LPAP 151,THE ALEXANDER TECHNIQUE,1
LPAP 152,INTRODUCTION TO CONTEMPORARY DANCE,1
LPAP 153,INTERMEDIATE MODERN DANCE,1
LPAP 154,ADVANCED MODERN DANCE,1
LPAP 155,INTRODUCTION TO BALLET,1
LPAP 156,INTERMEDIATE BALLET,1
LPAP 157,JAZZ DANCE/HIP HOP,1
LPAP 159,LIFEGUARDING,1
LPAP 161,INTRODUCTION TO AQUATIC ACTIVITIES,1
LPAP 162,WATER SAFETY INSTRUCTOR,1
LPAP 163,LIFEGUARD INSTRUCTOR,1
LPAP 164,FITNESS SWIMMING,1
LPAP 165,INTERMEDIATE FITNESS SWIMMING,1
LPAP 166,BEGINNING SWIMMING,1
LPAP 169,TRIATHLON TRAINING,1
LPAP 170,YOGA,1
LPAP 171,TAI CHI,1
LPAP 172,INTRODUCTION TO FENCING,1
LPAP 173,INTERMEDIATE FENCING,1
LPAP 175,INTRODUCTION TO MARTIAL ARTS: KUNG FU,1
LPAP 176,SELF DEFENSE FOR WOMEN,1
LPAP 177,INTERMEDIATE YOGA TECHNIQUES,1
LPAP 178,THE ART OF RELAXATION,1
LPAP 179,INTRODUCTION TO UNDERWATER ECOLOGY WITH SCUBA,1
LPAP 180,"WALK, JOG, RUN",1
LPAP 181,PERSONAL FITNESS,1
LPAP 182,WEIGHT TRAINING,1
LPAP 183,WEIGHT TRAINING AND CONDITIONING,1
LPAP 185,CARDIO KICKBOXING,1
LPAP 186,PILATES,1
LPAP 187,GROUP FITNESS,1
LPAP 190,INTRODUCTION TO OUTDOOR ACTIVITIES,1
LPAP 191,GROUP FITNESS INSTRUCTOR TRAINING,1
LPAP 192,EXERCISE AND WEIGHT MANAGEMENT,1
LPAP 193,WEIGHT TRAINING FOR WOMEN,1
LPAP 196,FITNESS AND TECHNOLOGY,1
LPAP 197,DISCOVERING PERSONAL WELLNESS: CREATING AWARENESS & DEVELOPING SKILLS FOR BEHAVIOR CHANGE,1
LPAP 198,NUTRITION,1
LPAP 199,INDEPENDENT STUDY,1
