Military Science,,Hours,,
MILI 106,Intermediate Physical Fitness,1,2013,Fall
MILI 109,Intro to Physical Fitness,1,2013,Fall
MILI 121,Introduction to Leadership,2,2013,Fall
MILI 122,Introduction to Leadership II,2,,
MILI 123,Leadership Lab,0,2013,Fall
MILI 201,Foundations of Leadership,2,2013,Fall
MILI 202,Foundations of Leadership II,2,,
MILI 203,Leadership Laboratory,0,2013,Fall
MILI 281,Leadership Training Course,8,,
MILI 301,Advanced Leadership,3,2013,Fall
MILI 302,Advanced Leadership II,3,,
MILI 304,Leadership Laboratory,0,2013,Fall
MILI 349,Leadership Development Assessment,4,,
MILI 398,Special Problems,3,2013,Fall
MILI 401,Adaptive Leadership,3,2013,Fall
MILI 402,Leadership in a Complex World,3,,
MILI 403,Leadership Laboratory,0,2013,Fall
MILI 439,Special Problems,3,2013,Fall
