CEVE,Hours,DIII
CEVE 100,3,
CEVE 101,3,
CEVE 201,,
CEVE 202,,
CEVE 203,,
CEVE 211,3,
CEVE 302,3,
CEVE 304,3,
CEVE 306,,
CEVE 307,3,
CEVE 308,3,
CEVE 310,3,
CEVE 311,3,
CEVE 312,1,
CEVE 313,3,1
CEVE 314,1,
CEVE 315,,
CEVE 320,3,
CEVE 322,3,
CEVE 334,3,
CEVE 363,3,
CEVE 400,3,
CEVE 401,4,
CEVE 404,3,
CEVE 405,3,
CEVE 406,3,
CEVE 407,3,
CEVE 408,1,
CEVE 411,3,
CEVE 412,3,
CEVE 417,3,
CEVE 418,3,
CEVE 420,3,
CEVE 424,3,
CEVE 427,3,
CEVE 434,3,
CEVE 450,3,
CEVE 451,,
CEVE 452,3,
CEVE 453,3,
CEVE 455,3,
CEVE 460,3,
CEVE 470,4,
CEVE 476,3,
CEVE 479,3,
CEVE 480,3,
CEVE 481,1,
CEVE 484,3,
CEVE 490,,
CEVE 492,3,
CEVE 496,3,
CEVE 499,,
CEVE 512,,
CEVE 518,,
CEVE 535,,
CEVE 536,,
CEVE 550,,
