Chemical & Biomolecular Engineering,,Hours
CHBE 100,Introduction to Chemical and Biomolecular Engineering,1
CHBE 281,Engineering Sustainable Communities,3
CHBE 301,Chemical Engineering Fundamentals,3
CHBE 303,Computer Programming in Chemical Engineering,1
CHBE 305,Computational Methods in Chemical Engineering,3
CHBE 310,Fundamentals of Biomolecular Engineering,3
CHBE 343,Chemical Engineering Lab I,3
CHBE 350,Process Safety in Chemical Engineering,1
CHBE 381,ICT Designs for a Sustainable World,3
CHBE 382,Innovation and Sustainability,3
CHBE 390,Chemical Kinetics and Reactor Design,3
CHBE 401,Transport Phenomena I,3
CHBE 402,Transport Phenomena II,3
CHBE 403,Design Fundamentals,4
CHBE 404,Product and Process Design,4
CHBE 411,Thermodynamics I,3
CHBE 412,Thermodynamics II,3
CHBE 420,Biosystems Transport and Reaction Processes,3
CHBE 443,Chemical Engineering Lab II,2
CHBE 460,Biochemical Engineering,3
CHBE 470,Process Dynamics and Control,3
CHBE 499,Undergraduate Research,V
CHBE 501,Fluid Mechanics and Transport Processes,3
CHBE 510,Fundamentals of Biomolecular Engineering,3
CHBE 540,Statistical Mechanics,3
CHBE 560,Colloidal and Interfacial Phenomena,3
CHBE 580,Protein Engineering,3
CHBE 582,Innovation and Sustainability,3
CHBE 590,"Kinetics, Catalysts, and Reaction Engineering",3
CHBE 593,Introduction to Polymer Physics and Engineering,3
CHBE 594,Properties of Polymers,3
CHBE 597,"Polymer Synthesis, Soft Nanomaterials and Nanocomposites",3
CHBE 640,Metabolic Engineering,3
