Global Health Technologies,,Hours,DIII
GLHT 122,Fundamental Concepts in Biology,3,1
GLHT 201,Bioengineering and World Health,3,1
GLHT 360,Appropriate Design for Global Health,3,
GLHT 361,Metabolic Engineering for Global Health Environments,3,
GLHT 362,,,
GHLT 400,Global Health Technologies Independent Research Projects,V,
GLHT 411,Integrated Approaches to Sustainable Development,3,
GLHT 448,Technology Commercialization in Developing Countries for Engineering,3,
GLHT 449,Troubleshooting Workshop for Clinically-Relevant Biomedical Equipment,1,
GLHT 451,Global Health Design Challenges I,3,
GLHT 452,Global Health Design Challenges II,3,
GLHT 510,Seminar in Tropical Medicine,1,
