MSCI,,Hours,DIII
MSCI 301,Materials Science,1,1
MSCI 303,Materials Science Junior Lab,1,
MSCI 304,Applied Materials Engineering,1,
MSCI 311,Introduction to Design,4,
MSCI 401,Thermodynamics and Transport Phenomena in Materials Science,4,
MSCI 402,Mech Properties of Materials,3,
MSCI 404,Materials Engineering and Design,4,
MSCI 406,Physical Properties of Solids,3,
MSCI 411,Metallography and Phrase Relations,3,
MSCI 415,Ceramics and Glasses,3,
MSCI 433,Computational Materials Modeling,3,
MSCI 435,Crystallography and Diffraction,3,
MSCI 490,Materials Science Research Projects,V,
MSCI 491,Supervised Research,V,
MSCI 499,Current Topics,V,
MSCI 500,Materials Science Seminar,0,
MSCI 501,Materials Science Seminar,1,
MSCI 502,Mech Properties of Materials,3,
MSCI 506,Physical Properties of Solids,3,
MSCI 510,Computational Nanomechanics,3,
MSCI 523,"Properties, Synthesis and Esign of Composite Materials",3,
MSCI 533,Computational Materials Modeling,3,
MSCI 535,Crystallography and Diffraction,3,
MSCI 537,Crystallography and Diffraction Lab,1,
MSCI 545,Thin Films,3,
MSCI 555,Materials in Nature and Bio-Mimetic Strategies,3,
MSCI 561,Advanced Metallurgical Lab I,1,
MSCI 569,Corrosion Science and Engineering,3,
MSCI 570,Senior Design Thesis Project,2,
MSCI 571,Senior Design Thesis Project,2,
MSCI 580,Microscopy Methods in Materials Science,3,
MSCI 593,Introduction to Polymer Physics and Engineering,3,
MSCI 594,Properties of Polymers,3,
MSCI 597,"Polymer Synthesis, Soft Materials and Nanocomposites",3,
MSCI 609,Theoretical Fracture Mechanics,3,
MSCI 610,Crystal Thermodynamics,3,
MSCI 611,Independent Study,V,
MSCI 612,Independent Study,V,
MSCI 614,Special Topics,V,
MSCI 616,Automotive Engineering: Materials and Dynamics,V,
MSCI 617,Automotive Engineering: Lab,V,
MSCI 621,M.M.S. Research Project I,3,
MSCI 622,M.M.S. Research Project II,3,
MSCI 623,Analytical Spectroscopies: Tools in Materials Science,3,
MSCI 634,Thermodynamics of Alloys,3,
MSCI 635,Transformation in Alloys,3,
MSCI 650,Nanomaterials and Nanomechanics,3,
MSCI 666,Conduction Phenomena in Solids,3,
MSCI 777,Visiting Research Trainee,0,
