ARTS,Hours,DI,DIII
ARTS 101,3,1,
ARTS 102,3,,
ARTS 103,3,,
ARTS 105,1,,
ARTS 176,3,,1
ARTS 225,3,1,
ARTS 230,3,,
ARTS 262,3,,
ARTS 270,3,,
ARTS 280,4,1,
ARTS 291,V,,
ARTS 293,V,,
ARTS 294,V,,
ARTS 301,3,1,
ARTS 309,3,,
ARTS 310,3,,
ARTS 311,3,1,
ARTS 314,3,,
ARTS 315,3,,
ARTS 320,3,,
ARTS 322,3,,
ARTS 323,3,,
ARTS 324,3,,
ARTS 325,3,,
ARTS 327,3,,
ARTS 328,3,,
ARTS 329,3,,
ARTS 330,3,,
ARTS 331,3,,
ARTS 332,3,,
ARTS 340,3,,
ARTS 349,3,,
ARTS 350,V,,
ARTS 365,3,1,
ARTS 370,3,,
ARTS 379,V,,
ARTS 380,V,,
ARTS 382,3,,
ARTS 383,V,,
ARTS 384,3,,
ARTS 386,3,1,
ARTS 387,3,,
ARTS 388,3,,
ARTS 389,3,,
ARTS 390,3,,
ARTS 391,V,,
ARTS 392,V,,
ARTS 393,V,,
ARTS 394,V,,
ARTS 396,V,,
ARTS 397,6,,
ARTS 398,3,,
ARTS 399,3,,
ARTS 411,3,,
ARTS 412,3,,
ARTS 413,3,,
ARTS 420,3,,
ARTS 423,V,,
ARTS 425,3,,
ARTS 426,3,,
ARTS 427,3,,
ARTS 428,3,,
ARTS 432,3,1,
ARTS 435,V,,
ARTS 443,V,,
ARTS 445,V,,
ARTS 447,V,,
ARTS 449,3,,
ARTS 450,V,,
ARTS 452,V,,
ARTS 457,V,,
ARTS 460,4,,
ARTS 465,3,1,
ARTS 466,3,,
ARTS 475,3,,
ARTS 494,V,,
ARTS 499,3,,
