Chinese,,Hours,DI
CHIN 101,First Year Chinese I,5,
CHIN 102,First Year Chinese II,5,
CHIN 201,Second Year Chinese I,4,1
CHIN 202,Second Year Chinese II,4,1
CHIN 203,Intermediate Chinese Conversation,3,1
CHIN 204,,,
CHIN 211,Accelerated Elementary Chinese I,3,1
CHIN 212,Accelerated Elementary Chinese Ii,3,1
CHIN 215,Classical Chinese,3,
CHIN 222,AP/OTH Credit in Chinese Language,4,
CHIN 223,AP/OTH Credit in Chinese Language,4,
CHIN 300,Chinese Language Placement Test,0,
CHIN 301,Third Year Chinese I,3,1
CHIN 302,Third Year Chinese II,3,1
CHIN 303,Chinese Topics Through Oral Communication,3,
CHIN 310,,,1
CHIN 311,Accelerated Intermediat Chinese II,3,
CHIN 312,Accelerated Intermediate Chinese II,3,1
CHIN 313,Media Chinese: Current Issues,3,1
CHIN 314,Contemporary China: Culture and Society Since 1978,3,1
CHIN 315,"Taiwan's Films Since 1980: Art, Culture, Society and Language",3,1
CHIN 318,Medical Chinese,3,
CHIN 321,Structure of Chinese: Syntax & Semantics,3,1
CHIN 322,Taiwanese Language and Literature,3,1
CHIN 330,Introduction to Traditional Chinese Poetry,3,
CHIN 331,,,
CHIN 332,Chinese Literature and Its Movie Adaptations,3,1
CHIN 334,Traditional Chinese Tales and Short Stories,3,
CHIN 335,Introduction to Classical Chinese Novels,3,1
CHIN 399,Chinese Teaching Practicum,V,
CHIN 401,Fourth Year Chinese I,3,
CHIN 402,Fourth Year Chinese II,3,
CHIN 411,Accelerated Advanced Chinese I,3,1
CHIN 412,Accelerated Advanced Chinese II,,
CHIN 422,The Original Beauty of Chinese Literature,3,1
