Classical Studies,,Hours,DI
CLAS 101,Freshman Seminar: Socrates: The Man and His Philosophy,3,1
CLAS 102,Introduction to the History of Western Art I: Prehistoric to Gothic,3,1
CLAS 103,The Parthenon and Periklean Athens,3,1
CLAS 107,Greek Civilization and Its Legacy,3,1
CLAS 108,Roman Civilization and Its Legacy,3,1
CLAS 201,History of Philosophy I,3,1
CLAS 204,Gender and Sexuality in the Ancient World,3,
CLAS 205,Greek Tragedy in Translation,3,
CLAS 206,Pompeii,3,
CLAS 207,Love Life in Classical Antiquity,3,
CLAS 210,Homer and Virgil and Their Reception,3,1
CLAS 215,Cicero and the Fall of the Roman Republic,3,
CLAS 225,Women in Greece and Rome,3,1
CLAS 230,,,1
CLAS 235,"Classical Mythology: Inerpretation, Origins, and Influence",3,1
CLAS 236,Art and Politics in Ancient Rome,3,
CLAS 301,Ancient and Medieval Philosophy,3,
CLAS 309,"The Dawn of Rome: Generating the Urban, Social and Political Life of the Eternal City",3,
CLAS 318,The Invention of Paganism in the Roman Empire,3,1
CLAS 320,The Age of Augustus,3,
CLAS 321,Special Topics in Ancient Art,3,
CLAS 322,Erotics of Ancient Art,3,
CLAS 335,,,
CLAS 336,Intro to Indo-European,3,
CLAS 402,,,1
CLAS 417,Architecture and Dynasty in the Early Roman Empire,3,
CLAS 491,Special Topics,3,
CLAS 492,Special Topics,3,
CLAS 493,Senior Thesis,3,
CLAS 494,Senior Thesis,3,
