English,,Hours,DI,DII
ENGL 100,Introduction to Literature,3,1,
ENGL 104,Reading Autobiography,3,1,
ENGL 121,AP/OTH Credit in English,AP,,
ENGL 122,AP/OTH Credit in English,AP,,
ENGL 175,Global Literatures in English,3,1,
ENGL 200,Critical Reading and Writing,3,,
ENGL 201,Introduction to Creative Writing,3,,
ENGL 202,The Creative Cultural Essay,3,,
ENGL 204,Forms of Poetry,3,,
ENGL 208,Introduction to Visual Argument and Designing Texts,3,,
ENGL 210,Major British Writers: Chaucer - 1800,3,1,
ENGL 211,Major British Writers: 1800 to Present,3,1,
ENGL 212,Survey of Old English,3,,
ENGL 215,"Words in English: Structure, History, Use",3,1,
ENGL 222,The World and South Asia,3,1,
ENGL 240,Studies in Textual Media,3,,
ENGL 250,Masterworks of Fiction,3,1,
ENGL 255,The Idea of Shakespeare,3,1,
ENGL 260,Introduction to the Study of American Literature,3,1,
ENGL 265,Jewish-American Literature and Culture,3,1,
ENGL 266,Ethnic Literatures of 20th Century America,3,,
ENGL 267,Introduction to African American Literature,3,,
ENGL 268,Introduction to Native American Literature,3,,
ENGL 270,Aspects of Modern Literature,3,1,
ENGL 271,Survey of Children's Literature,3,,
ENGL 272,Literature and Medicine,3,1,
ENGL 273,Medicine and Media,4,1,
ENGL 274,Literature and Religion,3,1,
ENGL 275,Introduction to Film: Film Criticism,4,,
ENGL 277,Literature and Forensics,3,1,
ENGL 278,Medicine in the Age of Networked Intelligence,3,,
ENGL 280,Material Culture: Objects Caged and Free Range,3,,
ENGL 286,Classical and Contemporary Film and Theory,3,,
ENGL 290,Topics in Literary and Cultural Analysis,3,,
ENGL 300,Practices of Literary Study: Reading Methods,3,,
ENGL 301,Introduction to Fiction Writing,3,,
ENGL 304,Introduction to Poetry Writing,3,,
ENGL 305,Introduction to Creative Nonfiction Writing,3,,
ENGL 306,Expository Prose,3,,
ENGL 307,Medical/Technical Communication,3,,
ENGL 308,How I Love (and Hate) the Bomb: The Rhetoric of Atomic Energy in US Popular and Civic Discourse,3,,
ENGL 309,Mythologies,3,1,
ENGL 310,Dante,3,1,
ENGL 311,Topics in Medieval Literature and/or Culture,3,,
ENGL 312,Topics in Old English,3,,
ENGL 313 ,Beowulf for the 21st Century,3,,
ENGL 315,Medieval Cultures Through Film,3,1,
ENGL 316,Chaucer,3,1,
ENGL 317,Arthurian Literature,3,1,
ENGL 318,J.R.R Tolkein and the Middle Ages,3,,
ENGL 319,Introduction to Renaissance Literature,3,,
ENGL 320,Shakespear on Film,3,1,
ENGL 321,Early Shakespeare,3,1,
ENGL 322,Late Shakespeare,3,1,
ENGL 323,Early Modern Drama,3,,
ENGL 326,Early Modern Literature,3,,
ENGL 328,Milton,3,,
ENGL 329,Women Writers: 1400-1900,3,1,
ENGL 330,Origins of the English Novel,3,1,
ENGL 331,Topics in 18th Century British Literature,3,,
ENGL 332,Literature of the British Enlightenment,3,1,
ENGL 333,18th Century British Fiction,3,1,
ENGL 336,British or Irish Literature,3,,
ENGL 337,Survey of Early 19th Century British Fiction,3,,
ENGL 338,Survey of British Romanticism,3,1,
ENGL 339,Romanticism in Ruins,3,1,
ENGL 341,Victorian Literature and Culture,3,,
ENGL 342,Survey of Victorian Fiction,3,1,
ENGL 343,Jane Austen's Worlds,3,,
ENGL 346,20th Century British Literature,3,1,
ENGL 348,Survey of British Poetry: 1900-Present,3,,
ENGL 349,European Fiction: Cervantes - 1900,3,,
ENGL 350,Survey of European Fiction: 20th Century,3,,
ENGL 353,Modern Drama on Film and In Performance,3,,
ENGL 354,Queer Literary Cultures,3,,
ENGL 355,Modern Short Story: Towards an Ethics of Fiction,3,1,
ENGL 356,Modernisms,3,,
ENGL 357,Origins of the Postmodern,3,1,
ENGL 358,Consumption and Consumerism,3,,
ENGL 360,American Literature: Before 1860,3,1,
ENGL 361,American Literature 1860-1910,3,1,
ENGL 362,Survey of American Fiction 1910-1950,3,1,
ENGL 363,American Fiction 1950-Present,3,1,
ENGL 364,American Poetry 1900-1960,3,,
ENGL 365,American Poetry 1960-Present,3,,
ENGL 366,Topics in American Literature,3,,
ENGL 367,Literature and Culture of the US-Mexico Borderlands,3,,
ENGL 368,Literature and the Environment,3,1,
ENGL 369,The American West and its Others,3,,
ENGL 370,African American Literature,3,1,
ENGL 371,Chicano/a Literature,3,,
ENGL 372,The American West/Americas,3,,
ENGL 373,Survey of American Film and Culture,4,1,
ENGL 375,Film and Literature,3,,
ENGL 376,Postcolonial Studies,3,,
ENGL 377,Art and Literature,3,,
ENGL 378,Literature of the Americas,3,,
ENGL 379,Introduction to Third World Literature,3,1,
ENGL 380,Anglophone Literatures,3,,
ENGL 381,Topics in Women Writers,3,,
ENGL 382,Feminist Theory North and South,3,,
ENGL 383,Global Fictions,3,1,
ENGL 384,American Independent Cinema,4,,
ENGL 385,Film Studies,3,,
ENGL 386,Medical Media Arts Lab,3,,
ENGL 387,Cultural Studies,V,,
ENGL 388,Media Studies,V,,
ENGL 389,Youth Studies,3,,
ENGL 390,Introduction to Theatre,3,1,
ENGL 392,Contemporary Poetry,3,,
ENGL 393,Black Manhattan: 1915-1940,3,,
ENGL 394,Structure of English,3,1,
ENGL 395,History of the English Language,3,,1
ENGL 396,Literary Genres,3,,
ENGL 397,Topics in Literature and Culture,3,,
ENGL 398,Slavery in 20th Century Film and Fiction,3,,
ENGL 399,The Black Imaginary: 1775-Present,3,,
ENGL 400,Seminar for Majors,3,,
ENGL 401,Advanced Fiction Writing,3,,
ENGL 402,Writing Longer Fiction: Narrative Design,3,,
ENGL 404,Advanced Poetry Writing,3,,
ENGL 405,Advanced Personal Essay Writing,3,,
ENGL 412,Introduction to Old English Language,3,,
ENGL 418,Renaissance Drama,3,,
ENGL 419,Topics in Shakespeare,3,,
ENGL 420,16th Century British Studies,3,,
ENGL 421,17th Century British Studies,3,,
ENGL 422,18th Century British Studies,3,,
ENGL 423,19th Century British Studies,3,,
ENGL 424,20th Century British Studies,3,,
ENGL 432,Topics in Richardson's Clarissa,3,,
ENGL 441,Victorian Studies,3,,
ENGL 443,Austen Only: Novels & Film,3,,
ENGL 459,Topics in Literature and Ecology,3,,
ENGL 460,Topics in Anglo-American/Transatlantic Literature and Culture,3,,
ENGL 461,19th-Century American Studies,3,,
ENGL 462,20th-21st Century American Studies,3,,
ENGL 466,Studies in American Literature,3,,
ENGL 470,Studies in African American Literature,3,,
ENGL 471,Studies in Chicano/a Literature,3,,
ENGL 472,Native American Literature,3,,
ENGL 474,Problem of Knowledge in the Study of Global Cultures,3,,
ENGL 480,Advanced Youth Studies,3,,
ENGL 481,Studies in Feminist Literary Theory,3,,
ENGL 484,Studies in Literary Genres,3,,
ENGL 485,Studies in Modern Literature,3,,
ENGL 486,Studies in Critical Regionalism,3,,
ENGL 487,Global Fictions,3,,
ENGL 488,Media Studies,4,,
ENGL 489,Studies in Film,V,,
ENGL 490,Studies in Major British Authors,3,,
ENGL 491,Studies in Major American Authors,3,,
ENGL 493,Directed Reading,V,,
ENGL 494,Senior Thesis Preparation,3,,
ENGL 495,Senior Thesis,3,,
ENGL 497,Studies in Literature and Culture,3,,
ENGL 498,Queer Theory,3,,
ENGL 499,Literary Theory,3,,
