FSEM,Hours,DII,DIII
FSEM 100,3,,
FSEM 101,3,,
FSEM 102,3,,
FSEM 103,3,,
FSEM 104,3,,
FSEM 105,3,,
FSEM 106,3,,
FSEM 108,3,,
FSEM 109,3,,
FSEM 111,3,,
FSEM 112,3,,
FSEM 113,3,,
FSEM 115,1,,
FSEM 116,3,,
FSEM 117,3,,
FSEM 118,3,,
FSEM 119,3,,
FSEM 121,3,,
FSEM 122,3,,
FSEM 123,3,,
FSEM 124,3,,
FSEM 125,3,,
FSEM 126,3,,
FSEM 128,3,,
FSEM 129,3,,
FSEM 130,3,,
FSEM 132,3,,
FSEM 134,3,,
FSEM 136,3,,
FSEM 138,3,,
FSEM 144,3,,
FSEM 151,3,,
FSEM 152,3,,
FSEM 154,3,,
FSEM 155,3,,
FSEM 156,3,,
FSEM 157,3,,
FSEM 158,3,,
FSEM 159,3,,
FSEM 165,3,,
FSEM 166,3,,
FSEM 167,3,,
FSEM 171,3,,
FSEM 172,3,,
FSEM 175,3,,
FSEM 176,3,,
FSEM 177,3,,
