History of Art,,Hours,DI
HART 100,AP/OTH Credit in Art History,3,
HART 101,Introduction to the History of Western Art I: Antiquity to Gothic,4,1
HART 102,Introduciotn to the History of Western Art II: Renaissance to Present,4,1
HART 103,Introduction to the History of Asian Art,3,
HART 105,Key Monuments and Artists of Western Art,3,1
HART 106,Images of War and Peace,3,1
HART 110,The Parthenon of Periklean Athens,3,1
HART 117,"From Freud to Lecorbusier: Psychoanalysis, Art and Architecture",3,
HART 118,Culture of the Russian Revolution,,1
HART 119,Film Noir,3,
HART 128,Introduction to African Art History,3,
HART 180,Pass the Popcorn: 14 Films you should see before you graduate From Rice,4,
HART 201,Rome: Inception to Empire,3,
HART 207,Fourteen Artworks at the MFAH,3,
HART 208,Special Topics in Museum Studies,V,
HART 209,Independent Study in Museum Studies,V,
HART 211,Introduction to Asian Civilizations,3,1
HART 212,,3,
HART 213,Pompeii,3,
HART 214,Art and Politics in Ancient Rome,3,
HART 219,Independent Study: Ancient Art,V,
HART 225,History & Theory I (Intro),3,
HART 228,"Special Topics in Christian, Byzantine and Islamic Art",V,
HART 229,"Independent Study in Christian, Bysantine, and Islamic Art",V,
HART 238,Special Topics in Medieval Art,V,
HART 239,Independent Study in Medieval Art,V,
HART 240,Art in Context: Late Medieval and Renaissance Culture,3,1
HART 248,Special Topics in Renaissance and Baroque Art,V,
HART 249,Independent Study in Renaissance and Baroque Art,V,
HART 250,Contemporary European Cinema,V,
HART 258,Special Topics in 19th and 20th Century Art,V,
HART 259,Independent Study in 19th and 20th Century Art,V,
HART 263,Episodes in the History of Photography: From Invention to the Present,3,
HART 265,A Visual Culture Travelogue: Art and Politics in Modern Latin America,3,
HART 268,Special Topics in American Art,V,
HART 269,Independent Study in American Art,V,
HART 278,Special Topics in Non-Western Art,V,
HART 279,Independent Study in Non-Western Art,V,
HART 280,History and Aesthetics of Film,3,1
HART 281,The Beginnings of Cinema,3,
HART 283,Auteur Film: Case Studies of Three Auteurs,3,
HART 284,Nonfiction Film,4,1
HART 285,Introduction to Film,4,
HART 286,Classical and Contemporary Film and Theory,3,
HART 288,Special Topics in Film and Media Studies,3,
HART 289,Independent Study in Film and Media Studies,V,
HART 298,Special Topics in Art Theory and Criticism,V,
HART 299,Independent Study in Art Theory and Criticism,V,
HART 300,Museum Intern,3,
HART 301,Museum Intern Program II,3,
HART 302,"From the Sublime to the Sustainable: Art, Architecture and Nature",3,
HART 303,Independent Study,3,
HART 304,A Revolution from within: Trends in Contemporary Cuban Culture,3,
HART 305,"Avant Garde and After: Art in Europe, 1900-1945",3,
HART 306,"The Theater of the World: Art, Architecture, & Urbanism in Renaissance Rome",3,
HART 308,Living in the City in the Ottoman Empire,3,
HART 309,"The Dawn of Rome: Generating the Urban, Social and Political Life of the Eternal City",3,
HART 310,Erotics of Ancient Art,3,
HART 311,Art and Archaeology of the Ancient near East,3,
HART 314,,3,
HART 316,,3,
HART 318,Special Topics in Ancient Art,3,
HART 319,,3,
HART 320,The Age of Augustus,3,
HART 321,Imperial City: Istanbul 1453-1922,3,
HART 322,Jerusalem to Isfahan,3,
HART 326,,3,
HART 327,Art and Empire: The Ottoman World,3,
HART 329,Streets and Urban Life: Paris Istanbul,3,
HART 330,Early Medieval Art,3,1
HART 331,Gothic Art,3,1
HART 332,Art of the Courts,3,
HART 333,Looking at European Prints 1400-1700,3,
HART 334,"Picasso, Pollock, Warhol",3,
HART 335,"American Art and Architecture, II: 1800-1920",3,
HART 336,Cinema and the City,4,1
HART 337,History of Russian Cinema,3,
HART 339,American Art and Architecture I: 1620-1800,3,
HART 340,Northern Renaissance Art,3,
HART 341,Early Renaissance Art in Italy,3,
HART 342,The High Renaissance and Mannerism in Italy,3,
HART 343,Masters of the Baroque Era,3,
HART 345,History and Theory II - Pre 1890,3,1
HART 346,Seminar on Love: Making Love in Modern Art and Thought,3,
HART 347,"Sex, Love, and Spirit",3,
HART 348,A Revolution from Within: Trends in Contemporary Cuban Culture,1,
HART 350,"Fascism, Totalitarianism and Returns to Order",3,
HART 351,Nineteenth Century Art in Europe,3,
HART 352,Twentieth Century Art in Europe,3,
HART 353,Art and Architecture in the Age of Revolutions (1725-1875),3,
HART 354,Age of Romanticism in Europe,3,
HART 355,Jacques-Louis David: Revolution,3,
HART 356,"Art in the Vanguard: Visual Culture and Radical Politics, 1800-2005",3,
HART 357,Constable and Turner,3,
HART 358,Impressionalism and Post-Impresionism,3,
HART 359,Issues in Early Modernism: Fauvism to Expressionism,3,
HART 360,American Architecture and Decorative Arts Before 1900,3,
HART 362,Late Modern Art: 1945-Present,3,
HART 363,History of Photography,3,
HART 364,Studies in American Art from the Colonial Era to the Armory Show,3,
HART 365,"Gender, Subjectivity, and the History of Photography",3,
HART 366,American Art from Georgia O'Keeffe to Andy Warhol,3,
HART 367,Modern and Contemporary Art: From Pollock to the Present,3,
HART 368,Subjectivity in Modern/Postmodern Art,3,
HART 369,Seminar on Beauty and Fragmentation in Modern Art,3,
HART 370,Nothing and Everything in the History of Art,3,
HART 371,Chinese Painting,3,1
HART 372,Chinese Art and Visual Culture,3,1
HART 373,Methodology Seminar: Word and Image,3,
HART 374,Art & Religion in China,3,
HART 375,Latin America Art: Independence to the Present,3,
HART 376,East & West: Medieval Visual Culture in China and Northern Europe,3,1
HART 377,"Jews and Art, Antiquity Through 1700",3,
HART 378,The Age of Rembrandt,3,
HART 379,Post-1945 Japanese Art & Architecture,,
HART 380,Survey of American Film and Culture,4,1
HART 381,Collage and Its Histories,3,
HART 382,Modalities of Cinema,3,
HART 383,Global Cinema,4,
HART 384,Sacred Spaces in the Ancient Mediterranean,3,
HART 385,European Women Filmmakers,3,1
HART 386,DADA,3,
HART 387,Cultural Studies: Global Media Studies,V,
HART 388,Post War European Cinema,4,1
HART 389,Film Melodrama,4,
HART 390,Theoretical Perspectives on the Visual Arts,3,
HART 391,Producing Feminist Knowledge: Methodology and Visual Culture,3,
HART 394,The Sacred Arts of Secular Modernism,3,
HART 395,Special Problems in Art History,V,
HART 396,Medical Humanities Visual Culture,3,1
HART 397,Thinking Through the Image: The Art of Methodology,3,
HART 398,From Expressionism to Fascism: Art and Film in Germany,3,
HART 399,Exhibiting Sexualities,3,
HART 400,Bayou Bend Internship I,3,
HART 401,Bayou Bend Internship II,3,
HART 402,Honors Thesis,3,
HART 403,Honors Thesis,3,
HART 404,Senior Thesis,3,
HART 405,Independent Studies - Undergraduate,V,
HART 408,Special Topics in Museum Studies,3,
HART 409,Independent Study in Museum Studies,3,
HART 410,Architecture and Dynasty in the Early Roman Empire,3,
HART 411,Brazillian Visual Culture: Film and Art,3,
HART 412,Advanced Seminar in Architecture,3,
HART 413,Murder and Modernism,3,
HART 418,Special Topics in Ancient Art,V,
HART 419,Independent Study in Ancient Art,V,
HART 420,Artistics Encounters: Europe and the Islamic World in the Early Modern and Modern Periods,3,
HART 428,"Special Topics in Early Christian, Byzantine, and Islamic Art",V,
HART 429,"Independent Study in Early Christian, Byzantine, and Islamic Art",V,
HART 431,Architecture of the Gothic Cathedral from the Middle Ages to the Twentieth Century,3,
HART 433,The Bayeux Tapestry and the Anglo-Norman World,3,
HART 434,"Seeing Sex in European Art, 1400-1700",3,1
HART 435,"Multicultural Europe, 1400-1700",3,
HART 436,Multicultural Europe,3,
HART 437,Visual Culture of Medieval Pilgrimage,V,
HART 438,Special Topics in Medieval Art,V,
HART 440,Jan Van Eyck: Problems of Interpretation,3,
HART 441,Bosch and Bruegel: A Seminar on the Representation of the Sacred and Profane,3,
HART 444,Leonardo and Michelangelo,3,
HART 447,Multicultural Europe,3,
HART 448,Special Topics in Renaissance and Baroque Art,V,
HART 449,Independent Study in Renaissance and Baroque Art,V,
HART 450,Early Modern Art,3,
HART 451,Models of Abstraction,3,
HART 452,Manet(s) and Modernism(s),3,
HART 453,Cubism and the Problem of Form,3,
HART 454,The Artist as Ethnographer - The Ethnographer as Artist,3,
HART 455,"Five Modern Painters, 1860-1914: Manet, Cezanne, Picasso, Matisse, Delaunay",3,
HART 456,"Copley, Sargent, and the Museum",3,
HART 457,Video and Expanded Cinema,3,
HART 458,Special Topics: The Political History of Art between the World Wars,3,
HART 459,Independent Study in 19th and 20th Century Art,V,
HART 460,Mass Culture & the Avant-Garde,3,
HART 463,"Practicing Utopia: Architecture, Eugenics and the Modern Latin City",3,
HART 465,Latin American Bodies: On Modernism,3,
HART 467,"Nature In-Vitro: Bodies, Gardens and Built Forms",3,
HART 468,Special Topics in American Art,V,
HART 469,Independent Study in American Art,V,
HART 478,Special Topics in Non-Western Art,V,
HART 479,Independent Study in Non-Western Art,V,
HART 480,Seminar on Film Authorship: The New Hollywood,4,
HART 481,Auteur Film: Case Studies of Three Auteurs,4,
HART 482,Caesar's Palace: Author(ity) and Meaning in the Roman Imperial Residence,4,
HART 483,Seminar on Documentary and Ethnographic Film,4,
HART 485,Gender and Hollywood Cinema in the 1950's,3,
HART 486,Studies in Film,3,
HART 487,"Literature, Art and Coloniality",4,
HART 488,Special Topics in Film and Media Studies,V,
HART 489,Independent Study in Film and Media Studies,V,
HART 490,"Cultural Boundaries Ethnic Myths, and the Search for a National Style",3,
HART 493,"Walter Benjamin, Media & Modernity",3,
HART 498,Special Topics in Art Theory and Criticism,V,
HART 499,Independent Study in Art Theory and Criticism,V,
