Hebrew,,Hours,DI
HEBR 101,Introduction to Modern Hebrew Language and Culture I,5,
HEBR 102,Introduction to Modern Hebrew Language & Culture II,5,
HEBR 125,Introduction to Biblical Hebrew i,3,
HEBR 126,Introduction to Biblical Hebrew II,3,
HEBR 128,Intermediate Biblical Hebrew II,3,
HEBR 201,Intermediate Modern Hebrew Language and Culture I,4,1
HEBR 202,Intermediate Modern Hebrew Language and Culture II,4,1
HEBR 301,Advanced Intermediate Modern Hebrew Language and Culture I,3,1
HEBR 302,Advanced Intermediate Modern Hebrew Language and Culture II,3,1
HEBR 325,Advanced Modern Hebrew Through Israeli Culture I,3,
HEBR 398,Independent Studies,V,
