HIST,Hours,DI,DII
HIST 101,3,1,
HIST 102,3,1,
HIST 103,3,,
HIST 104,3,,
HIST 105,3,,
HIST 106,3,,
HIST 107,3,,
HIST 108,3,1,
HIST 117,3,1,
HIST 118,3,1,
HIST 120,3,1,
HIST 124,3,1,
HIST 125,,1,
HIST 126,,,
HIST 127,,,
HIST 128,,,
HIST 136,,,
HIST 139,,,
HIST 139,,,
HIST 143,,,
HIST 144,3,1,
HIST 151,3,1,
HIST 155,3,1,
HIST 159,3,1,
HIST 160,,,
HIST 161,,,
HIST 162,,,
HIST 165,3,1,
HIST 166,3,1,
HIST 167,3,1,
HIST 168,,,
HIST 170,3,,
HIST 175,3,1,
HIST 176,3,1,
HIST 177,3,1,
HIST 186,3,,
HIST 188,3,1,
HIST 190,3,,
HIST 200,3,1,
HIST 201,3,1,
HIST 206,3,1,
HIST 210,3,1,
HIST 213,,,
HIST 214,3,,
HIST 215,3,1,
HIST 218,3,1,
HIST 219,,,
HIST 220,,,
HIST 225,3,,
HIST 226,3,,
HIST 227,3,1,
HIST 228,3,1,
HIST 229,3,,
HIST 231,3,,
HIST 232,3,1,
HIST 233,3,1,
HIST 234,3,1,
HIST 235,3,1,
HIST 237,,,
HIST 241,3,1,
HIST 242,,1,
HIST 246,3,1,
HIST 248,,,
HIST 251,3,1,
HIST 252,,,
HIST 253,,,
HIST 255,3,,
HIST 256,3,1,
HIST 257,,,
HIST 262,,,
HIST 265,3,1,
HIST 266,3,1,
HIST 268,3,,
HIST 270,3,,
HIST 271,3,1,
HIST 274,,,
HIST 275,,,
HIST 278,,,
HIST 279,3,,
HIST 281,3,1,
HIST 282,,,
HIST 283,,,
HIST 287,3,,
HIST 291,3,,
HIST 295,3,1,
HIST 296,,1,
HIST 300,3,,
HIST 302,,1,
HIST 303,,,
HIST 304,3,,
HIST 305,3,,
HIST 306,3,,
HIST 307,3,,
HIST 308,3,,
HIST 310,3,,
HIST 312,3,,
HIST 313,3,1,
HIST 314,3,,
HIST 315,3,1,
HIST 316,3,1,
HIST 318,3,,
HIST 319,3,,
HIST 320,3,,
HIST 321,3,,
HIST 322,3,,
HIST 323,,,
HIST 324,3,,
HIST 327,3,,
HIST 328,3,,
HIST 329,3,,
HIST 330,3,,
HIST 333,3,,
HIST 335,3,,
HIST 336,3,,
HIST 337,3,,
HIST 339,,,
HIST 340,3,,
HIST 341,3,,
HIST 342,3,,
HIST 343,,,
HIST 344,3,,
HIST 345,3,,
HIST 348,3,,
HIST 350,3,1,
HIST 351,3,1,
HIST 352,3,,
HIST 353,,,
HIST 354,3,1,
HIST 355,3,1,
HIST 356,3,,
HIST 357,3,1,
HIST 358,,,
HIST 359,,,
HIST 360,3,,
HIST 361,3,1,
HIST 362,3,1,
HIST 364,3,,
HIST 365,3,1,
HIST 366,3,1,
HIST 367,,,
HIST 368,,,
HIST 374,,1,
HIST 377,,,
HIST 368,3,,
HIST 370,3,,
HIST 371,3,,
HIST 372,3,,
HIST 373,3,,
HIST 374,3,,
HIST 375,3,,
HIST 376,3,,
HIST 377,3,,
HIST 378,3,,
HIST 379,3,,
HIST 380,3,,
HIST 381,3,1,
HIST 382,3,,
HIST 383,3,,
HIST 384,,,
HIST 385,,,
HIST 386,3,,
HIST 387,,,
HIST 388,3,1,
HIST 389,3,,
HIST 394,,,
HIST 395,3,1,
HIST 396,3,,
HIST 397,3,,
HIST 398,3,,
HIST 400,3,,
HIST 403,3,,
HIST 404,3,,
HIST 405,3,,
HIST 406,,,
HIST 408,,,
HIST 409,3,,
HIST 411,3,,
HIST 412,,,
HIST 415,3,,
HIST 416,3,,
HIST 417,3,,
HIST 418,3,,
HIST 419,3,,
HIST 421,3,,
HIST 422,3,,
HIST 423,3,,
HIST 424,3,,
HIST 425,3,,
HIST 426,3,,
HIST 427,3,,
HIST 428,3,,
HIST 429,3,,
HIST 431,3,1,
HIST 432,,,
HIST 433,3,,
HIST 434,3,,
HIST 435,3,,
HIST 436,3,,
HIST 438,,,
HIST 439,3,,
HIST 441,3,,
HIST 443,3,,
HIST 448,3,,
HIST 450,,,
HIST 452,,,
HIST 454,3,,
HIST 455,3,,
HIST 457,3,,
HIST 458,3,,
HIST 459,3,,
HIST 460,3,,
HIST 461,3,,
HIST 462,3,,
HIST 464,3,,
HIST 465,3,,
HIST 471,3,,
HIST 472,3,,
HIST 473,3,,
HIST 474,3,,
HIST 475,3,,
HIST 478,3,,
HIST 479,3,,
HIST 480,3,,
HIST 481,3,,
HIST 482,3,,
HIST 484,,,
HIST 486,3,,
HIST 487,,,
HIST 490,3,,
HIST 491,3,,
HIST 492,3,,
HIST 493,,,
HIST 494,3,,
HIST 495,3,,
HIST 496,3,,
HIST 498,3,,
HIST 597,,,
