Kinesiology,,Hours
KINE 120,Scientific Foundations of Kinesiology,3
KINE 205,Sociology of Sport,3
KINE 300,Human Anatomy,3
KINE 301,Human Physiology,3
KINE 302,Biomechanics,3
KINE 310,Psychological Aspects of Sport and Exercise ,3
KINE 311,Motor Learning,3
KINE 319,Introduction to Measurements and Statistics,3
KINE 321,Exercise Physiology,3
KINE 323,Exerciese Physiology Laboratory,1
KINE 325,Motor Learning Lab,1
KINE 341,Management of Chronic Diseases: Obesity and Diabetes,3
KINE 351,Human Anatomy Lab,1
KINE 375,Sports Medicine Internship,V
KINE 403,Sport Nutrition,3
KINE 410,Case Studies in Performance Enhancement,3
KINE 412,Motor Control,3
KINE 421,Advanced Topics in Exercise Physiology and Preventive Medicine,3
KINE 440,Research Methods,3
KINE 441,Muscle Physiology and Plasticity,3
KINE 490,Seminar in Sports Medicine,3
KINE 495,Independent Study in Sports Medicine,V
KINE 496,Independent Study in Sports Medicine,V
KINE 498,Special Topics,V
KINE 499,Teaching Practicum in Sports Medicine,V
