Korean,,Hours,DI
KORE 101,Introduction to Korean Language and Culture I,5,
KORE 102,Introduction to Korean Language and Culture II,5,
KORE 201,Intermediate Korean Language and Culture I,4,1
KORE 202,Intermediate Korean Language and Culture II,4,1
KORE 301,Selected Readings and Translation I,3,1
KORE 302,Selected Readings and Translation II,3,1
KORE 344,Korean Literature and Culture,3,
KORE 346,Korean Culture and Society Through Multimedia,3,1
KORE 398,Korean Teaching Practicum,V,
KORE 399,Korean Teaching Practicum,V,
KORE 499,Independent Study,V,
