Latin,,Hours,DI
LATI 101,Elementary Latin I,3,
LATI 102,Elementary Latin II,3,
LATI 104,AP/OTH Credit in Elementary Latin,3,
LATI 201,Intermediat Latin I: Prose,3,1
LATI 202,Intermediate Latin II,3,1
LATI 204,AP/OTH Credit in Intermediate Latin,3,1
LATI 205,Medieval Latin Saints' Lives,3,1
LATI 301,Advanced Latin: Literature of Exile in the Roman Tradition,3,1
LATI 302,Advanced Latin,3,1
LATI 303,Advanced Latin: Plautus and Terence,3,1
LATI 304,Advanced Latin: Roman Epic,3,1
LATI 305,Advanced Lati: Horace,3,1
LATI 306,Advanced Latin: Ovid's Metamorphoses,3,
LATI 307,Latin Poetry of Late Antiquity,3,1
LATI 311,Latin Pastoral Poetry,3,1
LATI 312,Ovid: Amores,3,1
LATI 313,Cicero and Catullus: Literature and Society in the Roman Republic,3,1
LATI 314,Tacitus,3,1
LATI 315,Senecan Tragedy,3,1
LATI 316,Readings in Virgil's Aeneid,3,1
LATI 317,Readings in Livy,3,
LATI 491,Directed Reading,3,
LATI 492,Directed Reading,3,
LATI 503,Directed Reading for Graduate Students,3,
LATI 504,Directed Reading for Graduate Students,3,
LATI 505,Medieval Latin Saints' Lives,3,
