LING,Hours,DI,DII
LING 103,3,,
LING 105,3,1,
LING 107,3,1,
LING 138,3,1,
LING 139,,1,
LING 140,3,1,
LING 200,3,,1
LING 201,1,,1
LING 205,3,,1
LING 209,,,
LING 215,,1,
LING 300,3,,1
LING 301,3,,1
LING 304,,,1
LING 305,3,,1
LING 306,3,,1
LING 309,3,,1
LING 310,3,,
LING 311,3,,
LING 313,3,,1
LING 314,,,
LING 315,3,,1
LING 317,,,
LING 318,3,1,
LING 320,3,,
LING 321,3,1,
LING 322,3,,
LING 325,3,,
LING 330,3,,
LING 336,3,,
LING 340,3,,
LING 370,3,1,
LING 390,3,,
LING 394,3,1,
LING 395,3,,1
LING 396,2,,
LING 403,3,,
LING 404,3,,
LING 406,3,,1
LING 407,3,,
LING 408,3,,
LING 409,3,,
LING 410,,,1
LING 411,3,,1
LING 413,3,,
LING 414,3,,1
LING 415,3,,
LING 416,3,,
LING 419,,,
LING 420,,,
LING 424,3,,
LING 427,3,,
LING 428,3,,
LING 480,3,,
LING 481,V,,
LING 482,V,,
