MDST,Hours,DI
MDST 101,3,
MDST 102,3,
MDST 104,,
MDST 105,3,
MDST 106,3,
MDST 108,3,1
MDST 111,4,1
MDST 120,3,1
MDST 126,3,1
MDST 201,3,1
MDST 201,,
MDST 203,,
MDST 205,3,
MDST 211,3,1
MDST 212,3,1
MDST 222,3,1
MDST 230,,
MDST 254,3,1
MDST 271,3,
MDST 281,3,1
MDST 301,3,
MDST 305,3,
MDST 308,3,
MDST 310,3,1
MDST 312,3,
MDST 313,3,
MDST 314,3,
MDST 315,4,1
MDST 316,3,1
MDST 317,3,1
MDST 318,3,
MDST 320,V,
MDST 321,,
MDST 324,3,
MDST 327,3,
MDST 330,3,1
MDST 331,3,1
MDST 332,3,1
MDST 335,,
MDST 340,3,
MDST 345,3,
MDST 351,3,
MDST 357,3,1
MDST 358,,
MDST 364,3,
MDST 367,3,
MDST 368,3,1
MDST 369,3,
MDST 370,3,
MDST 373,3,1
MDST 375,3,1
MDST 376,3,1
MDST 379,3,
MDST 381,,
MDST 382,,
MDST 385,,
MDST 386,3,
MDST 402,3,
MDST 404,3,
MDST 410,,
MDST 411,3,
MDST 412,3,
MDST 425,3,
MDST 427,3,
MDST 429,3,
MDST 431,3,
MDST 433,3,
MDST 434,,
MDST 435,3,
MDST 436,3,
MDST 437,3,
MDST 438,,
MDST 440,3,
MDST 451,3,
MDST 456,2,
MDST 478,3,
MDST 481,3,
MDST 488,,
MDST 512,3,
