Philosophy,,Hours,DI,DIII
PHIL 100,Problems of Philosophy,3,1,
PHIL 101,Contemporary Moral Issues,3,1,
PHIL 103,Philosophical Aspects of Cognitive Science,3,1,
PHIL 104,Introduction to Philosophy of Science,3,1,
PHIL 105,Historical Introduction to Philosophy,3,1,
PHIL 106,Logic,3,,1
PHIL 109,Philosophy of Art,3,1,
PHIL 111,Introduction to the Philosophy of Law,3,,
PHIL 116,Introduction to Feminsist Philosophy,3,1,
PHIL 201,History of Philosophy I,3,1,
PHIL 202,History of Philosophy Ii,3,1,
PHIL 204,Philosophical Challenges and Engineering Applications of Stem Cells,3,1,
PHIL 301,Ancient and Medieval Philosophy,3,,
PHIL 302,Modern Philosophy,3,,
PHIL 303,Theory of Knowledge,3,1,
PHIL 304,Metaphysics,3,1,
PHIL 305,Mathematical Logic,3,,1
PHIL 306,Ethics,3,1,
PHIL 307,Social and Political Philosophy,3,1,
PHIL 308,Contenental Philosophy,3,1,
PHIL 309,Aesthetics,3,1,
PHIL 310,Philosophy of Biology,3,1,
PHIL 311,Philosophy of Religion,3,1,
PHIL 312,Philosophy of Mind,3,1,
PHIL 313,Philosophy of Science,3,1,
PHIL 314,The Philosophy of Medicine,3,1,
PHIL 315,"Ethics, Medicine, and Public Policy",3,1,
PHIL 316,Philosophy of Law,3,1,
PHIL 317,Ethics and Existence,3,1,
PHIL 319,Feminist Philosophy,3,1,
PHIL 321,Kant and 19th Century Philosophy,3,,
PHIL 326,History of Ethics,3,1,
PHIL 327,History of Social and Political Philosophy,3,1,
PHIL 331,Moral Psychology,3,1,
PHIL 334,Achievement and the Meaning of Life,3,1,
PHIL 335,Advanced Topics in Value Theory,3,,
PHIL 336,Topics in Medical Ethics,3,1,
PHIL 337,Research Ethics,3,1,
PHIL 338,Metaethics,3,,
PHIL 339,Death and Dying: Metaphysics and Ethics,3,,
PHIL 352,Philosophy of Psychology,3,,
PHIL 353,Philosophy of Language,3,,
PHIL 354,Philosophy of Perception,3,,
PHIL 355,Philosophical Topics in Advanced Logic,3,,
PHIL 357,"Incompleteness, Undecidability, and Computability",3,,1
PHIL 390,Topics in Philosophy,3,,
PHIL 401,Independent Reading I,3,,
PHIL 402,Independent Reading II,3,,
PHIL 407,A Seminar Emphasizing Writing and Communicating Philosophy,3,,
PHIL 411,Senior Thesis,3,,
PHIL 412,Senior Thesis,3,,
