RELI,Hours,DI,DII
RELI 100,3,1,
RELI 101,3,1,
RELI 102,3,1,
RELI 103,3,,
RELI 106,3,,
RELI 107,3,,
RELI 110,3,,
RELI 111,3,1,
RELI 113,3,1,
RELI 122,3,1,
RELI 125,3,,
RELI 126,3,,
RELI 127,3,,
RELI 128,3,,
RELI 131,3,,
RELI 132,3,,
RELI 140,3,,
RELI 157,3,,
RELI 158,3,,
RELI 171,3,1,
RELI 172,3,1,
RELI 202,3,,
RELI 203,3,1,
RELI 205,3,,
RELI 208,,1,
RELI 209,3,,
RELI 210,3,,
RELI 212,3,,
RELI 221,3,,
RELI 222,3,,
RELI 223,3,,
RELI 225,3,,
RELI 230,3,,
RELI 231,3,,
RELI 232,3,,
RELI 243,3,,
RELI 250,3,,
RELI 254,,1,
RELI 260,3,,
RELI 262,3,,
RELI 271,3,,
RELI 280,3,,
RELI 282,3,1,
RELI 285,3,,
RELI 286,3,1,
RELI 287,3,,
RELI 294,3,,
RELI 301,3,,
RELI 304,3,,
RELI 305,3,,
RELI 306,3,,
RELI 307,3,,
RELI 308,3,,
RELI 309,3,,
RELI 310,3,,
RELI 311,3,,
RELI 312,3,1,
RELI 313,3,,
RELI 314,3,,
RELI 315,3,,
RELI 316,3,1,
RELI 317,3,,
RELI 318,3,,
RELI 319,3,,
RELI 321,3,,
RELI 322,3,1,
RELI 323,3,,
RELI 324,3,1,
RELI 325,3,,
RELI 326,3,,
RELI 328,,,
RELI 329,3,,
RELI 330,3,,
RELI 333,3,,
RELI 334,3,,
RELI 335,3,,
RELI 336,3,,
RELI 337,3,,
RELI 338,3,1,
RELI 339,3,,
RELI 340,3,,
RELI 341,3,,
RELI 342,3,,1
RELI 343,3,,
RELI 344,3,1,
RELI 345,3,,
RELI 347,3,,
RELI 348,3,1,
RELI 349,3,,
RELI 351,3,,
RELI 352,3,,
RELI 353,3,,
RELI 356,3,,
RELI 360,3,,
RELI 361,,,
RELI 363,,,
RELI 365,3,,
RELI 366,3,,
RELI 367,3,,
RELI 371,3,,
RELI 372,3,,
RELI 373,3,,
RELI 374,3,,
RELI 381,3,,
RELI 382,3,,
RELI 383,3,,
RELI 385,,1,
RELI 386,3,,
RELI 387,3,,
RELI 390,3,,
RELI 391,3,1,
RELI 394,3,,
RELI 399,1,,
RELI 400,3,,
RELI 401,3,,
RELI 402,V,,
RELI 423,3,1,
RELI 424,3,,
RELI 425,3,,
RELI 426,3,,
RELI 427,3,,
RELI 428,3,,
RELI 430,3,,
RELI 433,3,,
RELI 440,3,,
RELI 441,3,,
RELI 442,3,,
RELI 443,3,,
RELI 451,3,,
RELI 456,3,,
RELI 457,3,,
RELI 458,3,,
RELI 461,3,,
RELI 468,3,,
RELI 470,3,,
RELI 478,3,,
RELI 480,3,,
RELI 488,3,,
RELI 490,3,1,
RELI 491,3,,
RELI 525,,,
RELI 580,,,
