Russian,,Hours,DI
RUSS 101,Introduction to Russian I,5,
RUSS 102,Introduction to Russian II,5,
RUSS 201,Intermediate Russian,4,1
RUSS 202,Intermediate Russian II,4,1
RUSS 301,Conversation and Composition I,3,1
RUSS 302,Conversation and Composition II,3,1
RUSS 303,Special Topics,3,
RUSS 305,Advanced Russian Across the Curriculum,1,1
RUSS 319,Structure of Russian,3,
RUSS 323,Pre-20th Century Russian Literature and Culture,3,1
RUSS 325,20th Century Russian Literature and Culture,3,1
RUSS 450,Independent Study,V,
