Sport Management,,Hours,DI
SMGT 260,Introduction to Sport Management,3,
SMGT 276,Sport Management Practicum,3,
SMGT 350,Sport Ethics,3,1
SMGT 360,Sales & Revenue Generation in Sport,3,
SMGT 361,Sport Finance,3,
SMGT 362,Sport Marketing,3,
SMGT 364,Sport Law,3,
SMGT 366,Event Management and Customer Service,3,
SMGT 368,Issues in Contemporary Sport,3,
SMGT 376,Sport Management Internship 1,3,
SMGT 377,Sport Management Internship 2,3,
SMGT 378,Sport Management Internship 3,3,
SMGT 379,Sport Management Internship 4,V,
SMGT 405,Research in Sport Management,3,
SMGT 430,Introduction to Sport Analytics,3,
SMGT 460,Business Analysis in Sport,3,
SMGT 466,Sport Public Relations,3,
SMGT 470,Sport Management Seminar,3,
SMGT 495,Independent Study,V,
SMGT 496,Independent Study,V,
SMGT 498,Special Topics,V,
SMGT 499,Teaching Practicum,V,
