Spanish,,Hours,DI
SPAN 101,Introduction to Spanish Language and Culture I,5,
SPAN 102,Introduction to Spanish Language and Culture II,5,
SPAN 105,Accelerated Introductory Spanish Languge and Culture,5,
SPAN 152,Hispanic Essay,3,1
SPAN 153,Don Quixote,3,1
SPAN 156,Modern Latin American Art: Mexico in the Modern Age,3,1
SPAN 157,Dangerous Liasons/Relaciones Peligrosas: The Counterpont of the United States,3,1
SPAN 158,Introduction to Latin American Studies,3,1
SPAN 201,Intermediate Spanish Language and Culture I,4,1
SPAN 202,Intermediate Spanish Language and Culture II,4,1
SPAN 203,Intermediate Spanish I for Bicultural Students,4,1
SPAN 204,Intermediate Spanish for Bicultural Students,3,1
SPAN 222,AP/OTH Credit in Spanish Language,4,
SPAN 223,AP/OTH Credit in Spanish Language,4,
SPAN 225,AP/OTH Credit in Intermediate Spanish,3,1
SPAN 226,AP/OTH Credit in Intermediate Spanish,3,1
SPAN 227,,,
SPAN 228,,,
SPAN 300,Spanish Language Placement Test,0,
SPAN 301,Advanced Spanish I,3,1
SPAN 302,Advanced Spanish II,3,1
SPAN 303,Advanced Spanish for Bi-cultural Students,3,1
SPAN 304,Language and Culture of Hispanics in the United States,3,1
SPAN 305,Commercial Spanish I,3,1
SPAN 306,Commercial Spanish II,3,1
SPAN 307,The Language and Cultural of Medicine and Health Care,3,1
SPAN 308,The Language of Medicine and Health Care,3,1
SPAN 309,Spanish Practical Phonetics,1,
SPAN 310,The Language of Medicine and Healthcare Practicum,1,
SPAN 311,Language of Medicine Practicum II,3,
SPAN 312,Intensive Spanish Writing and Communication: Cultures of the Hispanic World,3,
SPAN 313,Scientific Spanish I,3,
SPAN 314,Scientific Spanish II,3,
SPAN 315,The Art and Mechanics of Translation I,3,1
SPAN 316,The Art and Mechanics of Translation II,3,1
SPAN 325,Advanced Spanish Through Theatre,3,
SPAN 340,Spanish Culture and Civilization,3,1
SPAN 341,Master Works of Spanish Art and Literature,3,
SPAN 342,Writing Workshop,3,
SPAN 343,Art in Latin American Literature,3,
SPAN 345,Mapping Latin American Culture,3,
SPAN 346,Brazilian Literature and Culture,3,
SPAN 348,"The Mexican Renaissance: Art, Literature and the Revolution of 1910",3,
SPAN 365,Spain's Golden Age,3,
SPAN 366,Golden Age Drama,3,1
SPAN 370,Survey of Spanish Literature,3,1
SPAN 371,Survey of Mexican Literature,3,
SPAN 373,Twentieth Century Mexican Novel,3,
SPAN 374,Brazilian Music and Social Movements,3,
SPAN 375,The Spanish Civil War,3,
SPAN 376,Poetry and Culture,3,
SPAN 377,The Spanish Avant-Grade,3,
SPAN 378,Current Issues in Spain,3,
SPAN 379,Literary Translation,3,
SPAN 380,The Evolution of Spanish,3,
SPAN 383,Spanish Creative Writing,3,
SPAN 384,Literatures from the Southern Cone,3,
SPAN 385,Foundations of Spanish American Literature,3,1
SPAN 386,Culture and Power in Latin America,3,
SPAN 387,Her Short Story: Culture of Latino-American Women,3,
SPAN 388,The Latin American Short Story,3,
SPAN 389,Contemporary Mexican Short Fiction,3,
SPAN 390,Hispanic Cinema,3,
SPAN 391,Caribbean Literature,3,
SPAN 392,A Revolution from Within: Trends in Contemporary Cuban Culture,3,
SPAN 393,Colonialism and Revolution in the Caribbean,3,1
SPAN 395,Dialogue of the Americas,3,
SPAN 396,Chicano/a Literature,3,
SPAN 397,Exploring Latin American Autobiographical Fiction,3,
SPAN 398,Mapping Latina/o Art,3,
SPAN 401,Literary Theory/Hispanic Texts,3,
SPAN 402,The City in Latin America,3,
SPAN 403,Literature and the Environment in Latin America,3,
SPAN 405,Latin American Literature in the Movies,3,
SPAN 406,Latin American Cinema,3,
SPAN 408,Brazillian Visual Culture: Film and Art,3,
SPAN 410,The Picaresque Novel,3,
SPAN 412,Don Quijote,3,
SPAN 420,The Disputed Generation of 1898,3,1
SPAN 422,Unamuno and Ortega,3,
SPAN 424,1898 in Transatlantic Perspective,3,1
SPAN 428,Contemporary Spanish Literature,3,
SPAN 430,20th Century Spanish Novel,3,
SPAN 435,The Modern Spanish Essay,3,1
SPAN 436,The Mexican Essay,3,
SPAN 450,Civilization and Barbarism,3,
SPAN 452,(Un) Disciplined Bodies,3,
SPAN 453,Border Narratives,3,
SPAN 454,Macho Culture in Latin America,3,
SPAN 456,Latin American Women's Culture,3,
SPAN 460,Europe and Latin America,3,
SPAN 462,Modern Spanish American Novel,3,
SPAN 465,Trends in Latin American Thought,3,
SPAN 466,20th Century Mexican Narrative,3,
SPAN 468,Octavio Paz,3,
SPAN 470,Latin American Cultural Theory,3,
SPAN 490,Independent Study,V,
SPAN 495,Honors Thesis,3,
