Astronomy,,Hours,DIII
ASTR 100,Exploring the Cosmos,1,
ASTR 201,"Start, Galaxies, and the Universe",3,1
ASTR 202,Exploration of the Solar System,3,1
ASTR 221,Observing the Night Sky,2,
ASTR 230,Astronomy Lab,3,
ASTR 243,Living with a Star: The Physics of the Sun-Earth Connection,3,
ASTR 350,Introduction to Astrophysics-Stars,3,
ASTR 360,Introduction to Astrophysics-Galaxy and Cosmo,3,
ASTR 400,Undergraduate Research Seminar,1,
ASTR 402,Teaching Earth and Space Science,3,
ASTR 403,Astronomy for Teachers,3,
ASTR 430,Teaching Astronomy Laboratory,3,
ASTR 450,Experimental Space Science,3,
ASTR 451,Astrophysics I: Sun and Stars,3,
ASTR 452,Astrophysics II: Galaxies and Cosmology,3,
ASTR 470,Solar System Physics,3,
