Chemistry,,Hours,DIII
CHEM 110,Freshman Chemistry Seminar,1,
CHEM 121,General Chemistry I,3,1
CHEM 122,General Chemistry II,3,1
CHEM 123,General Chemistry Laboratory I,1,1
CHEM 124,General Chemistry Laboratory II,1,1
CHEM 151,Honors Chemistry I,3,1
CHEM 152,Honors Chemistry II,3,
CHEM 153,Honors Chemistry Laboratory I,1,
CHEM 154,Honors Chemistry Laboratory II,1,
CHEM 176,The Chemistry of Art,3,1
CHEM 210,Wild Topics in Chemistry and Nano Technology,1,
CHEM 211,Organic Chemistry I,3,1
CHEM 212,Organic Chemistry II,3,1
CHEM 215,Organic Chemistry Lab,2,
CHEM 217,Organic Laboratory for Chemical Engineers,1,
CHEM 220,Undergraduate Chemistry Seminar,1,
CHEM 231,Introductory Module in Inorganic Chemistry,1,
CHEM 232,Introductory Module in Organic chemistry,1,
CHEM 310,Physical Chemistry,3,
CHEM 320,Organic Chemistry II,3,
CHEM 330,Analytical Chemistry,3,
CHEM 351,,,
CHEM 352,,,
CHEM 353,Introductory Module in Analytical Methods,1,
CHEM 360,Inorganic Chemistry,3,
CHEM 372,Advanced Module in the Synthesis and Characterization of Fullerene Compounds,1,
CHEM 373,Advanced module in the Chemistry and Properties of Fullrene Compounds,1,
CHEM 375,Advanced Module in Nanochemistry,1,
CHEM 378,Advanced Module in Plant Natural Products Biochemistry,1,
CHEM 381,Advanced Module in Equilibrium Physical Chemistry,1,
CHEM 382,Advanced Module in Kinetic Physical Chemistry,1,
CHEM 383,Advanced Module in Quantum Chemistry,1,
CHEM 384,Advanced Module Instrumental Analysis,1,
CHEM 395,Advanced Module in Green Chemistry,1,
CHEM 398,Advanced Module: Development of Experiments for Undergraduate Chemistry Labs,1,
CHEM 399,Advanced Module: Experimental Design,1,
CHEM 401,Advanced Organic Chemistry,3,
CHEM 411,Spectral Methods in Organic Chemistry,3,
CHEM 415,Chemical Kinetics and Dynamics,3,
CHEM 420,Classical and Statistical Thermodynamics,3,
CHEM 425,Organic Geochemistry,3,
CHEM 430,Quantum Chemistry,3,
CHEM 442,Medicinal Chemistry I,3,
CHEM 443,Medicinal Chemistry II,3,
CHEM 445,Physical Organic Chemistry,3,
CHEM 450,Chemical Physics of Condensed and Biological Matter,3,
CHEM 451,Biomolecular Concepts,3,
CHEM 458,Thermodynamics/Kinetics For Earth Scientists,3,
CHEM 475,Physical Methods in Inorganic Chemistry,3,
CHEM 491,Research for Undergraduates,V,
CHEM 492,Undergraduate Honors Research,5,
CHEM 493,Undergraduate Honors Research,5,
CHEM 495,Transition Metal Chemistry,3,
CHEM 498,Biomems and Medical Microdevices,3,
CHEM 527,Computing Design with Nanotechnologies,3,
CHEM 531,Advanced Quantum Chemistry,3,
CHEM 533,Nanoscience and Nanotechnology I,3,
CHEM 535,Advanced Topics in GeoChemistry,3,
CHEM 537,Biophysical Chemistry,3,
CHEM 543,Secondary Metabolism,3,
CHEM 544,Transition Metals in Organic Synthesis,3,
CHEM 547,Supramolecular Chemistry,3,
CHEM 555,Special Topics - Nanoscience and Nanotechnology,3,
CHEM 562,Advanced Organic Chemistry II,3,
CHEM 565,Special Topics - Physical Chemistry,3,
CHEM 570,"Nanotechnology for Teachers, Teaching Chemical Concepts Via Inquiry I",3,
CHEM 571,"Teaching Chemical Concepts Via Inquiry II, Nanotechnology for Teachers",3,
CHEM 585,Special Topics - Organic Chemistry,3,
CHEM 595,Special Topics - Inorganic Chemistry,3,
CHEM 597,"Polymer Synthesis, Soft Nanomaterial and Nanocomposites",3,
CHEM 598,Biomems and medical Devices,3,
