EBIO,,Hours,DIII
EBIO 113,Environmental Crisis Seminar,,1
EBIO 114,,1,
EBIO 116,Freshman Seminar on Local Biology Research,1,1
EBIO 124,Introduction to Ecology and Evolutionary Biology,3,1
EBIO 179,Introduction to Aquatic Ecology with Scuba,3,
EBIO 202,Introductory Biology II,3,1
EBIO 204,Environmental Sustainability: The Design & Practice of Community Agriculture,1,
EBIO 213,Intro Lab Mod Ecology and Evolutionary Biology,2,
EBIO 215,Bios Lab Teaching,V,
EBIO 216,Discussion Section Teaching,1,
EBIO 237,Field Bird Biology Lab,1,
EBIO 270,Ecosystem Management,3,
EBIO 306,Independent Study for Ecology & Evolutionary Biology Undergraduates,V,
EBIO 316,Lab Module in Ecology,1,
EBIO 317,Lab Module in behavior,1,
EBIO 321,Animal Behavior,1,1
EBIO 323,Conservation Biology,3,1
EBIO 325,Ecology,3,1
EBIO 326,Insect Biology,3,1
EBIO 327,Biological Diversity Laboratory,1,
EBIO 328,Evolution of Genes & Genomes,3,1
EBIO 329,Animal Biology and Physiology,3,1
EBIO 330,Insect Biology Lab,1,
EBIO 331,Biology of Infectious Diseases,3,1
EBIO 332,Evolution of Genes & Genomes Lab,1,
EBIO 333,Evolutionary Bioinformatics,3,
EBIO 334,Evolution,3,1
EBIO 335,Evolutionary Bioinformatics lab,1,
EBIO 336,Plant Diversity,3,1
EBIO 338,Design and Analysis of Biological Experiments,3,
EBIO 340,Global Biogeochemical Cycles,3,1
EBIO 372,Coral Reef Ecosystems,3,
EBIO 391,Transfer Credit in Ecology and Evolutionary Biology,3,
EBIO 393,Laboratory Transfer Credit in Biosciences,1,
EBIO 403,Undergraduate Honors Research in Ecology and Evolutionary Biology,5,
EBIO 404,Undergraduate Honors Research in Ecology and Evolutionary Biology,5,
EBIO 412,Advanced Communication in the Biological Sciences,2,
EBIO 432,Advanced Evolutionary Biology,3,
EBIO 433,Advanced Ecology,3,
