PHYS,,Hours,DIII
PHYS 101,Mechanics(with Lab),3,1
PHYS 102,Electricity & Magnetism(with Lab),4,1
PHYS 111,Mechanics(with Lab),3,1
PHYS 112,Electricity & Magnetism(with Lab),4,1
PHYS 125,General Physics(with Lab),4,1
PHYS 126,General Physics II(with Lab),4,1
PHYS 141,Concepts in Physics I,3,1
PHYS 142,Concepts in Physics II,3,1
PHYS 143,Physics for Citizenships,3,1
PHYS 144,The Physics of Music and Sound,3,1
PHYS 201,Waves and Optics,3,
PHYS 202,Modern Optics,3,
PHYS 231,Elementary Physics Lab,1,
PHYS 301,Intermediate Mechanics,4,
PHYS 302,Intermediate Electrodynamics,4,
PHYS 311,Introduction to Quantum Physics I,3,
PHYS 312,Introduction to Quantum Physics II,3,
PHYS 331,Junior Physics Lab I,2,
PHYS 332,Junior Physics Lab II,2,
PHYS 355,Introduction to Biological Physics,3,
PHYS 401,Physics of Ham Radio,3,
PHYS 411,Introduction to Nuclear & Particle Physics,3,
PHYS 412,Solid State Physics,3,
PHYS 416,Computational Physics,3,
PHYS 425,Statistical & Thermal Physics,3,
PHYS 461,Independent Research,V,
PHYS 462,Independent Research,V,
PHYS 465,REU Research in Physics and Astronomy,V,
PHYS 480,Introduction to Plasma Physics,3,
PHYS 491,Undergraduate Research,2,
PHYS 492,Undergraduate Research,2,
PHYS 493,Undergraduate Research Seminar,1,
PHYS 494,Undergraduate Research Seminar,1,
PHYS 510,Magnetospheric Physics,3,
PHYS 515,Classical Dynamics,3,
PHYS 516,Mathematical Methods,3,
PHYS 517,Computational Physics,3,
PHYS 519,Plasma Kinetic Theory,3,
PHYS 521,Quantum Mechanics I,3,
PHYS 522,Quantum Mechanics II,3,
PHYS 526,Statistical Physics,3,
PHYS 532,Classical Electrodynamics,3,
PHYS 533,Nanostructure and Nanotechnology I,3,
PHYS 534,Nanostructure and Nanotechnology II,3,
PHYS 535,Crystallography and Diffraction,3,
PHYS 537,Methods of Experimetal Physics I,4,
PHYS 538,Methods of Experimetal Physics II,4,
PHYS 539,Characterization and Fabrication at the Nanoscale,3,
PHYS 541,Radiative Processes,3,
PHYS 542,Introduction to Nuclear and Particle Physics,3,
PHYS 543,Physics of Quarks and Leptons,3,
PHYS 551,Biological Physics,3,
PHYS 552,Topics in Biological Physics,3,
PHYS 561,General Relativity,3,
PHYS 563,Introduction to Solid State Physics I,3,
PHYS 564,Introduction to Solid State Physics II,3,
PHYS 566,Surface Physics,3,
PHYS 567,Quantum Materials,3,
PHYS 568,Quantum Phase Transtitions,3,
PHYS 569,Ultrafast Optical Phenomena,3,
PHYS 571,Modern Atomic Physics,3,
PHYS 572,Fundamentals of Quantum Optics,3,
PHYS 600,Advanced Topics in Physics,3,
PHYS 605,Computational Electrodynamics and Nanophotonics,3,
PHYS 610,Biological and Molecular Simulation,3,
PHYS 622,Quantum Field Theory,3,
PHYS 643,"Cell Mechanics, Mechanotransduction and the Cell Microenvironment",3,
PHYS 663,Condensed Matter Theory: Applications,3,
PHYS 664,Condensed Matter Theory: Many-Body Formalism,3,
PHYS 700,Teaching Practicum,3,
PHYS 710,Graduate Seminar in Physics and Astronomy,1,
PHYS 777,Visiting Research Trainee,0,
PHYS 800,Graduate Research,V,
