SOSC,,Hours,DII
SOSC 102,Intellectual Foundations of the Social Sciences,3,
SOSC 300,Social Science and Public Policy,3,1
SOSC 301,Policy Analysis,3,1
SOSC 305,Contemporary Palestian Issues: Trans Towards Nation Building,3,
SOSC 314,Environmental Health,3,
SOSC 321,Social Science Undergraduate Research Enterprise,3,
SOSC 330,Health Care Reform in the 50 States,3,
SOSC 398,Pharmaceutical Politics and Policy,3,
SOSC 400,Global Urban Lab Istanbul,1,
SOSC 421,Internship,V,
SOSC 422,Social Sciences Internship- Abroad,V,
SOSC 423,Fall Medical Research Internship,V,
SOSC 424,Spring Medical Research Internship,V,
SOSC 430,The Shaping of Health Policy,3,
